Дата: 2016/05/26 16:17:00 Наименование: 'Приборы Dmitrienko D.S. часть 1' Позиций добавлено: 182\192 Статус: ОБРАБОТАНО И ПЕРЕМЕЩЕНО В АРХИВ
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('40', '27.01', '4', 'Trimble R8 III', '45148-10', '12', '41083', '01.08.2015', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('44', '27.01', '4', 'ТРИУМФ-1', '48736-11', '12', '45219', '0', '496', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('46', '0', '4', 'FLEX6', '58655-14', '12', '56436', '0', '497', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('50', '0', '4', 'OEM615', '58656-14', '12', '56437', '0', '497', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('51', '0', '4', 'OEM628', '58656-14', '12', '56437', '0', '497', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('52', '0', '4', 'OEM638', '58656-14', '12', '56437', '0', '497', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('65', '0', '4', 'TRIUMPH-2', '58995-14', '12', '56798', '12.11.2019', '497', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('67', '27.01', '5', 'GMS-2', '35355-07', '12', '29750', '01.08.2012', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('68', '27.01', '5', 'Smart-V1G', '44858-10', '12', '40816', '01.08.2015', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('69', '27.01', '5', 'GISmore-G2', '44859-10', '12', '40817', '01.08.2015', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('70', '27.01', '5', 'GISmore-G3', '44859-10', '12', '40817', '01.08.2015', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('73', '27.01', '6', 'GRX1200 GG Pro', '33814-07', '12', '27797', '01.03.2012', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('74', '27.01', '6', 'Trimble NetR5', '33884-07', '12', '27883', '01.03.2012', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('80', '27.01', '7', 'NetR3', '41880-09', '12', '37371', '01.12.2014', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('82', '27.01', '7', 'Trimble NetR9 Ti-2', '45720-10', '12', '41773', '01.08.2015', '363', '0', '0', null);
